date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,6.5,2.8,8.3,0.9,0,272,30.2,61.6,1016.9,63
2019-01-02,1.9,-2.2,3.9,0.2,0,321,19.4,63.7,1023.9,105
2019-01-03,-0.5,-2.8,1.9,0,0,302,10.1,35.3,1032.9,2
2019-01-04,1.7,-1.2,5,1.2,0,273,15.1,37.1,1027.4,0
2019-01-05,6,2.2,8,0,0,320,13.3,35.3,1020.1,29
2019-01-06,1.9,-0.2,3.5,0.3,0,313,6.8,25.2,1028,22
2019-01-07,3.3,-0.8,5.8,7.6,0,227,11.2,37.8,1025,0
2019-01-08,4.9,2.2,6.1,6.4,0,259,26.3,63,1001.3,0
2019-01-09,2.1,1.2,3,2,0,330,19.4,46.4,1007.1,0
2019-01-10,1,-0.3,2.2,0,0,337,11.9,35.3,1022.4,48
2019-01-11,2.4,-0.2,5.7,0.4,0,252,16.9,35.6,1016.6,0
2019-01-12,5,3.9,6,4.4,0,267,21.2,45,1009.9,0
2019-01-13,6.3,5.2,8.1,6.4,0,263,25.9,52.6,995.2,0
2019-01-14,2.4,0.2,5.9,0,0,293,27.7,64.8,1000.9,188
2019-01-15,3.9,1.3,6.7,1.1,0,270,29.5,59.4,1008.8,0
2019-01-16,6.3,3.1,7.3,0,0,241,24.5,53.6,1006.2,0
2019-01-17,4.6,1.4,6.9,1.5,0,236,23,50.8,999.5,46
2019-01-18,0.4,-1.7,1.8,0.2,10,274,16.6,43.2,1015.3,398
2019-01-19,0.3,-3.1,2.6,0,10,275,5.4,18,1020.3,293
2019-01-20,-2.7,-4.9,0.9,0,0,56,6.1,18.4,1020.5,396
2019-01-21,-3.2,-4.4,-0.6,0,0,224,10.4,25.2,1022,210
2019-01-22,-2.6,-5.5,0.3,0,0,156,11.2,29.5,1012.5,312
2019-01-23,-5.4,-7,-3.3,0,0,105,18.7,36.4,1006.5,38
2019-01-24,-3.8,-4.9,-3.2,0,0,98,12.6,32.8,1013,0
2019-01-25,-3.7,-4.5,-2.6,0.5,0,242,8.6,27.7,1014.5,14
2019-01-26,0.8,-3.1,3.9,4.1,10,200,9.7,24.1,1002.5,0
2019-01-27,4.4,2.9,6.3,2.7,0,183,14.8,31.3,990.1,0
2019-01-28,3.3,1.5,5.9,0.7,0,211,13,31,991.5,256
2019-01-29,1.2,-1.5,2.7,0,10,254,13.7,37.1,1002.7,4
2019-01-30,0.3,-2.4,3.1,0,0,117,18,46.4,1000.9,319
2019-01-31,1,-1.4,4.2,0,0,128,11.5,31,1000.5,113
2019-02-01,-0.1,-3.1,2.1,2.1,0,101,13.3,35.3,997,0
2019-02-02,0.5,0.1,1.1,1.2,10,351,9.4,33.8,997.7,0
2019-02-03,1,-0.8,1.9,0,0,302,10.8,32.8,1013.9,0
2019-02-04,0.9,-3.9,5.7,0.1,0,231,12.6,33.8,1026.8,397
2019-02-05,2.3,0.2,3.8,0,0,226,16.2,32.8,1026.1,0
2019-02-06,3.6,1,7.1,0,0,199,14,37.1,1024.6,230
2019-02-07,3.1,0.2,6,0.4,0,181,14.4,38.9,1012.9,61
2019-02-08,5.7,2.6,8.8,0,0,207,20.5,45,1013.1,148
2019-02-09,7.8,5.4,11.2,1.3,0,211,28.1,72.7,1004.6,196
2019-02-10,6.7,4.3,9,11.8,0,189,20.9,62.3,997.7,0
2019-02-11,4.4,1.3,7.1,0.3,0,283,24.8,56.2,1006.4,71
2019-02-12,2.9,0.7,6.3,0.1,0,290,16.6,43.9,1027.1,242
2019-02-13,6.1,2.9,8.2,0.2,0,257,20.5,39.6,1031.6,0
2019-02-14,6.7,0.8,10.7,0,0,261,11.2,29.5,1034.9,283
2019-02-15,5.7,-3.4,13.9,0,0,258,5,14.8,1033.4,510
2019-02-16,7.5,0,16.4,0,0,201,7.9,31.3,1026.2,515
2019-02-17,6.4,-1.3,14,0,0,143,5,18.4,1024.2,505
2019-02-18,8.1,1.1,15.6,0,0,185,6.1,16.6,1019,522
2019-02-19,6.5,0.7,10.2,1.1,0,234,17.3,51.8,1015.1,10
2019-02-20,7.1,4.2,10.1,0.2,0,259,16.2,35.3,1020.8,61
2019-02-21,8.1,5.1,10.8,2.6,0,258,16.6,38.9,1023.2,59
2019-02-22,3.4,-2,8.6,0,0,42,14.8,40,1037.2,444
2019-02-23,0.8,-3.5,5.4,0,0,146,10.4,25.9,1043.9,478
2019-02-24,3.9,-2.4,12.3,0,0,249,5,15.5,1039.2,430
2019-02-25,5.8,-2.5,14,0,0,283,7.2,28.4,1036.6,547
2019-02-26,5.5,-0.1,11.5,0,0,287,6.8,20.5,1032.9,62
2019-02-27,7.2,-2.2,16.1,0,0,258,8.3,25.9,1025.1,558
2019-02-28,7.2,2,12.8,0,0,278,14.4,38.2,1011.5,421
2019-03-01,4.3,2.3,5.8,0,0,307,7.6,25.9,1012.3,0
2019-03-02,4,2.2,6,0.5,0,241,10.4,30.2,1014.8,1
2019-03-03,9,4.5,11.5,1.9,0,218,22.7,53.6,1005.5,0
2019-03-04,9.7,5.8,14.9,4.4,0,220,29.2,102.6,993,106
2019-03-05,5.9,2,9.2,1.6,0,253,28.4,61.6,1002,178
2019-03-06,7,0.5,12.3,1.6,0,177,16.2,42.1,1007.7,373
2019-03-07,10.8,8.1,17.4,0,0,189,20.5,62.3,997,86
2019-03-08,7.7,3.6,9.9,1.4,0,242,31,80.3,1005.6,219
2019-03-09,7.4,4.1,12,6.1,0,236,28.4,73.4,1005.2,86
2019-03-10,4.5,0.5,7.8,14.2,0,251,18.7,49.3,1003.1,38
2019-03-11,3.1,1.1,5.8,2.5,0,264,23,53.6,1010.5,30
2019-03-12,5.5,1.4,9.5,0.7,0,234,20.2,42.5,1015.1,148
2019-03-13,7.4,4.4,10.8,1.7,0,218,31,73.4,1001.3,170
2019-03-14,5.8,4.3,8.7,8.4,0,229,25.6,58.7,997.5,7
2019-03-15,7.6,5.5,10.4,0.8,0,260,31,73.4,997.8,35
2019-03-16,6.8,4.8,9.4,5.8,0,242,23.4,63,1004.2,13
2019-03-17,8.4,4,12.8,1.6,0,223,24.5,59.4,1000.9,121
2019-03-18,4.9,3,9.6,2.3,0,245,28.8,65.5,1011.3,171
2019-03-19,4.8,-0.5,8.8,0,0,279,15.5,37.1,1025.1,249
2019-03-20,7,-2.3,13.6,0,0,253,13.7,42.1,1032.5,465
2019-03-21,9.5,4.1,12.4,0,0,262,11.9,31.3,1033.5,20
2019-03-22,8.7,4.4,11.4,0,0,144,7.2,21.6,1032.2,64
2019-03-23,9.6,4.9,15.6,0,0,277,10.4,36.4,1027.2,487
2019-03-24,6.5,0.5,12.2,0.3,0,311,6.8,25.9,1025,347
2019-03-25,4.6,0.8,9.3,3.2,0,278,14.8,45.7,1016,244
2019-03-26,4.8,0.6,9,0.8,0,284,17.3,54.4,1024,116
2019-03-27,7.3,2.9,10.1,1.8,0,276,14.8,37.1,1029.2,31
2019-03-28,8.8,7.9,10.1,0.5,0,293,9.7,24.1,1032.5,0
2019-03-29,9.9,5,12.4,0,0,241,9,25.9,1031.8,0
2019-03-30,11.2,3.4,18.5,0,0,211,9.4,40.7,1022.4,656
2019-03-31,8.1,0.9,13,0,0,,11.2,36.4,1023.1,412
2019-04-01,5.7,-2.4,11.7,0,0,74,13.3,41.4,1026.6,706
2019-04-02,9.3,2.4,15.2,0,0,117,19.1,42.1,1013.6,610
2019-04-03,14,8.5,19.3,0,0,116,12.6,29.5,1003.7,457
2019-04-04,15.4,9.3,21.2,0,0,111,14.8,38.9,999.2,685
2019-04-05,11.3,7.3,14.4,0,0,112,9.7,25.9,1005.3,391
2019-04-06,14.8,6.5,21.8,0,0,66,11.5,38.2,1007.6,682
2019-04-07,14.3,7.5,19.9,0,0,69,10.4,33.5,1008.4,721
2019-04-08,11.4,2.2,20.4,0,0,15,9.4,35.3,1010.6,602
2019-04-09,6.9,3.3,12,0,0,42,14,32.8,1015.3,581
2019-04-10,5.4,1.1,10.2,0,0,50,10.4,31.3,1018.6,200
2019-04-11,3.9,0.9,6.2,0,0,51,12.6,33.5,1025.1,220
2019-04-12,3.5,2.1,5.3,0,0,49,12.2,31.3,1026.5,0
2019-04-13,4.6,2.1,7.5,0.1,0,49,11.9,32,1024.8,5
2019-04-14,6,2.7,10.2,1.1,0,40,12.6,31.3,1025.8,2
2019-04-15,7.9,1.9,13.5,0,0,59,12.2,44.3,1027.9,758
